id_alimento;Grupo;Fuente;Alimento;Energia_kcal;Proteina_g;Grasa_total_g;Carbohidratos_g;Fibra_g;AGS_g;AGM_g;AGPI_g;Colesterol_mg;Calcio_mg;Fosforo_mg;Hierro_mg;Potasio_mg;Sodio_mg;Zinc_mg;VitaminaC_mg;VitaminaA_ug_ERE;Folatos_ug;VitaminaB12_ug
718;azucares;7;Endulzante, stevia, natural, Sanna;0;0;0;0;0;0;;;;;;;;0;;;;;
719;azucares;;Endulzante, sucralosa, sin calorías, en gotas, Edulmax;0;0;0;0;;0;;;;;;;;0;;;;;
720;azucares;7;Endulzante, sucralosa, sin calorías, Supermaxi;0;0;0;0;0;0;;;0;;;;;0;;;;;
721;azucares;;Espumilla, (clara de huevos, batidos, con guayaba), crudos, comercialmente preparado;225,92;;;56,48;;;;;;;8;;;;;;;;
722;azucares;9;Espumilla, receta traditional;269,94;0,26;0,82;65,38;0,15;;;;;9,57;3,55;0,15;0,13;34,42;0,07;50,77;8,88;0,81;0,02
723;azucares;;Flan, de vainilla, preparado con leche , promedio;112,26;2,86;2,9;18,68;0,1;1,64;0,71;0,2;9;;74;0,04;119;156;0,34;0;25;4;
724;azucares;1;Gelatina, con azúcar, preparada con agua, todo sabor, promedio;61,64;1,22;0;14,19;0;0;0;0;0;3;22;0,02;1;75;0,01;0;0;1;0
725;azucares;;Goma de mascar, chicle, con azúcar, Bubbaloo fresa;290,91;0;0;72,73;;0;;;0;;;;;0;;;;;
726;azucares;1;Goma de mascar, chicle, con azúcar, promedio;267,02;0;0,3;66,08;2,4;0,04;0,08;0,14;0;;0;0;2;1;0;0;0;0;0
727;azucares;;Helado de agua , nieve, tipo paila, distintas frutas, artesanal;117,04;0,05;0,02;29,17;0,14;0;0,01;0,02;;;1;0,09;13;0;0,01;7;279;;
728;azucares;7;Helado de agua, frozen, duo, Topsy;62,86;0;0;15,71;;0;0;0;0;;;;;0;;;;;
729;azucares;7;Helado de crema, alfajor, Topsy;142,35;2,35;5,88;20;;3,53;1,76;0,59;11,76;;;;;76,47;;;;;
730;azucares;;Helado de crema, big bar, Topsy;297,89;3,16;20;26,32;;11,58;7,37;1,05;13,68;;;;;73,68;;;;;
731;azucares;7;Helado de crema, bombon, Topsy;248,18;1,82;19,09;17,27;;15,45;3,64;0;11,82;;;;;31,82;;;;;
732;azucares;;Helado de crema, bugy gum, Topsy;64,62;1,54;3,08;7,69;;2,31;0,77;0;6,15;;;;;26,92;;;;;
733;azucares;7;Helado de crema, choc, Topsy;201,67;0;15;16,67;;8,33;5;1,67;10;;;;;23,33;;;;;
734;azucares;;Helado de crema, cono flama, Topsy;244,8;3,2;14,4;25,6;;8,8;4,8;0,8;9,6;;;;;36;;;;;
735;azucares;7;Helado de crema, crocante, Topsy;280;2,5;20;22,5;;12,5;6,25;1,25;11,25;;;;;50;;;;;
736;azucares;;Helado de crema, galletopsy, Topsy;168,64;3,39;5,93;25,42;;4,24;1,69;0;12,71;;;;;127,12;;;;;
737;azucares;7;Helado de crema, leche con cholate, Los Coqueiros;190,91;2,73;5,45;32,73;1,82;3,64;1,82;0;;;;;;31,82;;;;;
738;azucares;;Helado de crema, m&m’s, Topsy;105;2;5;13;;4;1;0;12;;;;;30;;;;;
739;azucares;7;Helado de crema, majestik, Topsy;279,05;3,81;20;20,95;;10,48;7,62;1,9;;;;;;55,24;;;;;
740;azucares;;Helado de crema, tipo paila, 5ta generación, Rosalia Suárez;0,07;0;0;0,02;0;0;0,42;0;;;;;;8,33;;;;;
741;azucares;7;Helado de crema, Tony frutilla, Topsy;118,57;2,86;4,29;17,14;;2,86;1,43;0;;;;;;42,86;;;;;
742;azucares;;Helado de crema, torta imperial, Topsy;230,95;4,76;11,9;26,19;;9,52;2,38;0;52,38;;;;;59,52;;;;;
743;azucares;7;Helado de crema, Tu y yo, Topsy;97,79;1,47;3,68;14,71;;2,94;0,74;0;;;;;;29,41;;;;;
744;azucares;;Jarabe, de frutilla, Snob;266,67;0;0;66,67;0;0;;;0;;;;;50;;;;;
745;azucares;7;Jarabe, sabor a maple, La Quiteña;400;0;0;100;0;0;;;0;;;;;0;;;;;
746;azucares;;Jarabe, sirope, sabor a caramelo, Hersheys;263,41;0;0;65,85;0;0;;;0;;;;;304,88;;;;;
747;azucares;7;Jarabe, sirope, sabor a chicle, Milano;288,89;0;0;72,22;;0;;;0;;;;;27,78;;;;;
748;azucares;;Jarabe, sirope, sabor a chocolate, Milano;266,67;0;0;66,67;0;0;;;0;;;;;0;;;;;
749;azucares;1;Leche, condensada, con azúcar, enlatada;327,54;7,91;8,7;54,4;0;5,49;2,43;0,34;;;253;0,19;371;127;0,94;3;74;11;0,44
750;azucares;;Mermelada, de arándano, Extra Helios;176;0;0;44;;0;;;0;;;;;0;;;;;
751;azucares;7;Mermelada, de arándano, silvestre, Bonne Maman;240;0;0;60;0;0;;;0;;;;;0;;;;;
752;azucares;;Mermelada, de cereza, sin azúcar;186,67;;;46,67;;;;;;;;;;;;;;;
753;azucares;7;Mermelada, de fruti-mora, Facundo;294,74;0;0;73,68;;0;;;0;;;;;0;;;;;
754;azucares;;Mermelada, de mora, frutilla y mortiño, Muyu Kawsay;211,76;0;0;52,94;0;0;;;0;;;;;;;;;;
755;azucares;7;Mermelada, de mora, Snob;260;0;0;65;0;0;;;0;;;;;0;;;;;
756;azucares;;Mermelada, de piña, Gustadina;266,67;0;0;66,67;;0;;;0;;;;;0;;;;;
757;azucares;7;Mermelada, de uvilla, Sierra Negra;176;0;0;44;4;0;;;0;;;;;100;;;;;
758;azucares;;Mermelada, toda variedad;266,4;0,3;0;66,3;0,7;0;0;0;0;38;4;0,15;37;56;0,04;5;3;9;
759;azucares;7;Miel de abeja, class 1, Bachita;400;0;0;100;0;0;;;;;;;;0;;;;;
760;azucares;;Miel de abeja, promedio;330,8;0,3;0;82,4;0,2;0;0;0;;;4;0,42;52;4;0,22;1;0;2;
761;azucares;7;Miel de abeja, Supermaxi;346,67;0;0;86,67;0;0;;;;;;;;;;;;;
762;azucares;;Miel de maple, orgánico, Schullo;280;0;0;70;;0;;;0;;;;;0;;;;;
763;azucares;1;Miel de maple, para pancakes;279,3;0;0,1;69,6;0;0,02;0,03;0,05;;;10;0,07;6;61;0,23;0;0;0;0
764;azucares;;Miel de panela, Gustadina;280;0;0;70;;0;;;0;;;;;16,67;;;;;
765;azucares;1;Panela, raspadura, regular;368,5;0,4;0,5;90,6;0;0;0;0;;;44;4,2;346;39;0,18;2;0;1;0
766;azucares;;Penela, orgánica, granulada, Supermaxi;400;0;0;100;0;0;;;0;;;;;0;;;;;
767;azucares;7;Penela, orgánica, instantánea, La Abeja Kapira;400;0;0;100;0;0;;;0;;;;;0;;;;;
768;alimentos en 100ml;;Premezcla para preparar torta, Betty crocker;375,58;4,65;3,49;81,4;0;2,33;;;0;;;2,09;;720,93;;;;;
769;alimentos en 100ml;7;Premezcla, polvo, para crema chantilly, Royal;455;0;15;80;;15;;;;;;;;150;;;;;
770;alimentos en 100ml;;Premezcla, polvo, para crema chantilly, Yá;469;3;17;76;;16;1,5;0;15;;;;;330;;;;;
771;alimentos en 100ml;1;Premezcla, polvo, para preparar torta, de vainilla, promedio;428,1;4,5;10,9;78;0,9;1,64;4,59;4,1;0;;337;1,39;117;664;0,46;0;0;147;0,18
772;alimentos en 100ml;;Premezcla, polvo, para preparar torta, sabor a chocolate, Royal;384,44;6,67;2,22;84,44;;2,22;;;;;;;;777,78;;;;;
773;alimentos en 100ml;1;Chocolate, en barra, chocolate con leche, Golosina;535,14;7,65;29,66;59,4;3,4;14,23;13,21;0,85;23;189;208;2,35;372;79;2,01;0;49;11;0,62
774;alimentos en 100ml;;Aceite, de canola, en Spray, PAM original;900;0;100;0;;0;;;0;;;;;;;;;;
775;alimentos en 100ml;7;Aceite, vegetal, con achiote, Supermaxi;900;0;100;0;0;28,57;21,42;50;0;;;;;0;;;;;
776;alimentos en 100ml;;Achiote, aceite, Alesol;900;0;100;0;0;28,57;21,43;50;0;;;;;0;;;;;
777;alimentos en 100ml;7;Agua de coco, sin azúcar adicionada, Natures Heart;22,4;0,4;0;5,2;0;0;0;0;0;;;;;20;;;;;
778;alimentos en 100ml;;Bebida energizante, con guayusa, sabor a maracuyá y mango, Waykana;31,67;0;0,15;7,58;;0;;;0;;30,3;11,11;;7,58;;;;;
779;alimentos en 100ml;7;Bebida energizante, original, V220;52;0;0;13;;0;;;0;;;;;21;;;;;
780;alimentos en 100ml;;Bebida energizante, Red Bull;44;0;0;11;;0;;;0;;;;;40;;;;;
781;alimentos en 100ml;7;Bebida gaseosa, clásica, con jugo de mora, Orangine;51,67;0;0;12,92;0;0;;;;;;;;12,5;;;;;
782;alimentos en 100ml;;Bebida gaseosa, con frambuesa, Kión;21,33;0;0;5,33;;0;;;0;;;;;43,33;;;;;
783;alimentos en 100ml;7;Bebida gaseosa, con guaraná, Cult;48;0;0;12;;;;;;;;;;0;;;;;
784;alimentos en 100ml;;Bebida gaseosa, con jengibre, Ginger Ale;1,67;0;0;0,42;0;0;;;;;;;;0;;;;;
785;alimentos en 100ml;7;Bebida gaseosa, de guaraná, baja en calorías, Antarctica;0;0;0;0;0;0;;;0;;;;;5,71;;;;;
786;alimentos en 100ml;;Bebida gaseosa, de guaraná, con sabor a guaraná, Antarctica;41,14;0;0;10,29;0;0;;;0;;;;;5,71;;;;;
787;alimentos en 100ml;7;Bebida gaseosa, de guayusa, frutos rojos, Misha;18,33;0;0;4,58;0;0;;;;;125;45,83;;18,75;;;;;
788;alimentos en 100ml;;Bebida gaseosa, de guayusa, sabor a limón, Misha;18,33;0;0;4,58;0;0;;;0;;;;;18,75;;;;;
789;alimentos en 100ml;7;Bebida gaseosa, libre de calorías, sin azúcar, Coca Cola Zero;0;0;0;0;;0;;;0;;;;;12,5;;;;;
790;alimentos en 100ml;;Bebida gaseosa, limonada, Imperial;30;0;0;7,5;0;0;;;0;;;;;6,25;;;;;
791;alimentos en 100ml;7;Bebida gaseosa, original, Fioravanti;20;0;0;5;;0;;;0;;;;;8,33;;;;;
792;alimentos en 100ml;;Bebida gaseosa, original, Pepsi;45,57;0;0;11,39;;0;;;;;;;;4,22;;;;;
793;alimentos en 100ml;7;Bebida gaseosa, sabor a cola, Big Cola;10;0;0;2,5;;0;;;0;;;;;6,25;;;;;
794;alimentos en 100ml;;Bebida gaseosa, sabor a cola, Colombiana;31,67;;;7,92;;;;;;;;;;4,17;;;;;
795;alimentos en 100ml;7;Bebida gaseosa, sabor a fresa, Fruit;10;0;0;2,5;;;;;;;;;;6,25;;;;;
796;alimentos en 100ml;;Bebida gaseosa, sabor a jengibre, Seagrams;29,3;0;0;7,32;;0;;;0;;;;;9,86;;;;;
797;alimentos en 100ml;7;Bebida gaseosa, sabor a lima limón, baja en calorías, Buzz;8,33;0;0;2,08;0;0;;;0;;;;;8,33;;;;;
798;alimentos en 100ml;;Bebida gaseosa, sabor a limón, Fruit;10;0;0;2,5;;;;;;;;;;8,33;;;;;
799;alimentos en 100ml;7;Bebida gaseosa, sabor a manzana, Postobon;30;;;7,5;;;;;;;;;;8,33;;;;;
800;alimentos en 100ml;;Bebida gaseosa, sabor a naranja, Fruit;10;0;0;2,5;;;;;;;;;;8,33;;;;;
801;alimentos en 100ml;7;Bebida gaseosa, sabor a uva, Postobon;31,67;;;7,92;;;;;;;;;;8,33;;;;;
802;alimentos en 100ml;;Bebida gaseosa, sabor artificial, uva, C&C;49,58;0;0;12,39;;;;;;;;;;14,08;;;;;
803;alimentos en 100ml;7;Bebida gaseosa, sabor cítrico, Mountain Dew;50,63;0;0;12,66;;0;;;;;;;;8,44;;;;;
804;alimentos en 100ml;;Bebida gaseosa, sin azúcar, con jugo de mora, Orangine;0;0;0;0;0;0;;;0;;;;;8,33;;;;;
805;alimentos en 100ml;7;Bebida gaseosa, sin azúcar, sabor a manzana, Fioravanti;0;0;0;0;;0;;;0;;;;;5;;;;;
806;alimentos en 100ml;;Bebida gaseosa, sin calorías, sabor ligero, light, Coca Cola;0;0;0;0;;0;;;;;;;;8,33;;;;;
807;alimentos en 100ml;7;Bebida gaseosa, sin calorías, Sprite;0;0;0;0;;0;;;0;;;;;15;;;;;
808;alimentos en 100ml;;Bebida gaseosa, sin colorantes, sabor a piña, Quintuple;0;0;0;0;;0;;;0;;;;;8,33;;;;;
809;alimentos en 100ml;7;Bebida gaseosa, sin colorantes, Tropical;0;0;0;0;;0;;;0;;;;;3,75;;;;;
810;alimentos en 100ml;;Bebida gaseosa, soda energética, (guayusa, jengibre, panela, energía y burbujas), Wá;36;0;0;9;0;0;;;;;;;;11,67;;;;;
811;alimentos en 100ml;7;Bebida gaseosa, te con guayusa, con jugo de caña y limón, Liv tea;29,33;0,33;0;7;0;0;;;;;;;;3,33;;;;;
812;alimentos en 100ml;;Bebida gaseosa, with blackberry juice, burbujeante, Orangine;3,33;0;0;0,83;0;0;;;0;;;;;8,33;;;;;
813;alimentos en 100ml;7;Bebida gaseosa,original, Inca Kola;0;0;0;0;;0;;;0;;;;;10;;;;;
814;alimentos en 100ml;;Bebida hidratante, bebida deportiva, con electrolitos, sabor a manzana, Sporade;25;0;0;6,25;;0;;;0;;;;;35,42;;;;;
815;alimentos en 100ml;7;Bebida hidratante, bebida deportiva, con electrolitos, sabor a uva, Sporade;28,33;0;0;7,08;;;;;0;;;;;70,83;;;;;
816;alimentos en 100ml;;Bebida hidratante, bebida deportiva, con electrolitos, sabor frutas tropicales, Sporade;23,33;0;0;5,83;;;;;;;;;12,5;45,83;;;;;
817;alimentos en 100ml;7;Bebida hidratante, bebida deportiva, Powerade;0;0;0;0;;0;;;;;;;;42;;;;;
818;alimentos en 100ml;;Bebida hidratante, bebida deportiva, sabor a limón, G Active;0;0;0;0;;0;;;;;;;12,5;50;;;;;
819;alimentos en 100ml;7;Bebida hidratante, bebida deportiva, sabor frutas tropicales, Gatorade Perform;23,33;0;0;5,83;;0;;;;;;;12,5;45,83;;;;;
820;alimentos en 100ml;;Bebida láctea, con avena, sabor a canela, Toni;84,4;2,4;2,8;12,4;0;1,6;1;0,2;;;;;;40;;;;;
821;alimentos en 100ml;7;Bebida, artificial, néctar de durazno, Pulp;30,4;0,4;0;7,2;0,8;0;;;;;;;;6,4;;;;;
822;alimentos en 100ml;;Bebida, con jugo concentrado de uva, Snapple;32,14;0;0;8,03;;;;;;;;;;50,74;;;;;
823;alimentos en 100ml;7;Bebida, con néctar de uva, Huesitos, Nestlé;32,43;0;0;8,11;;0;;;0;;;;;8,11;;;;;
824;alimentos en 100ml;;Bebida, de aloe, sávila, con fibra, Saviloe;17,5;0;0;4,38;1,56;0;;;0;;;;;15,63;;;;;
825;alimentos en 100ml;7;Bebida, de aloe, sávila, pasteurizada, sabor a fresa, Houssy;8;0;0;2;;0;;;0;;;;;15;;;;;
826;alimentos en 100ml;;Bebida, de aloe, sávila, sabor a piña, Aloe Vera King;43,33;;;10,83;;;;;;;;;;;;;;;
827;alimentos en 100ml;7;Bebida, de arándano, seleccionado, Natura, Nestlé;8;0;0;2;;0;;;0;;;;;10;;;;;
828;alimentos en 100ml;7;Bebida, de arroz o quinua, sin azúcar, Natures Heart;49,58;0,42;1,25;9,17;0,42;0,42;0,42;0,42;0;;;;;8,33;;;;;
829;alimentos en 100ml;;Bebida, de avena, con maracuyá, sabor naranjilla, with vitamins A and D, Toni;42,5;0,5;0,5;9;0;0;;;0;;;;;15;;;;;
830;alimentos en 100ml;7;Bebida, de avena, tradicional, sabor naranjilla, Toni;59,6;0,8;0,4;13,2;0,4;0,2;0,2;0;0;;;;;10;;;;;
831;alimentos en 100ml;;Bebida, de chía, frutos rojos y jamaica, Liv;21,33;1;1,33;1,33;1,33;0,33;0;1;0;;;;;0;;;;;
832;alimentos en 100ml;7;Bebida, de chía, manzana y pitahaya, Liv;21,33;1;1,33;1,33;1,33;0,33;0;1;0;;;;;0;;;;;
833;alimentos en 100ml;;Bebida, de coco, Coconut;16,67;;;4,17;;;;;;;;;;2,08;;;;;
834;alimentos en 100ml;7;Bebida, de coco, Oriental;73,33;0,42;1,67;14,17;0;0;;;0;;;;;112,5;;;;;
835;alimentos en 100ml;;Bebida, de coco, sabor a vainilla, con vitaminas, Natures Heart;34;0,5;2;3,5;0;2;0;0;;;;;;45;;;;;
836;alimentos en 100ml;7;Bebida, de jamaica, sabor frutos rojos, endulzada con stevia, Tippy Tea;3,33;0;0;0,83;;0;;;;;;;;8,33;;;;;
837;alimentos en 100ml;;Bebida, de jenjibre, Ginger Ale;36;0;0;9;0;0;;;0;;;;;0;;;;;
838;alimentos en 100ml;7;Bebida, de maíz morado, frutas y especies, Purple Maize;12;0;0;3;0;0;;;0;;;;;0,33;;;;;
839;alimentos en 100ml;;Bebida, de malta, sin alcohol, Pony Malta;31,67;0;0;7,92;0;0;;;;;;;;6,25;;;;;
840;alimentos en 100ml;7;Bebida, de naranja, con vitaminas A and zinc, Natura, Nestlé;32;0;0;8;;0;;;;;;;;7,5;;;;;
841;alimentos en 100ml;;Bebida, de naranja, con vitaminas A, C y zinc, Natura, Nestlé;32;0;0;8;;0;;;0;;;;;7,5;;;;;
842;alimentos en 100ml;7;Bebida, de rooibos, sabor a mango, endulzado con stevia, Tippy Tea;1,67;0;0;0,42;;0;;;0;;;;;8,33;;;;;
843;alimentos en 100ml;;Bebida, de soya, melocotón y soya, Vive Soy;35,6;0,8;0,4;7,2;0,4;0,1;0,1;0,2;;;;;;12;;6;;;
844;alimentos en 100ml;7;Bebida, infusión natural, endulzada con stevia, no contiene colorantes, Aqua Live;3,33;0;0;0,83;0;0;;;;;;;;8,33;;;;;
845;alimentos en 100ml;;Bebida, jugo de uva, Welchito;58;0;0;14,5;;;;;;;;;;12,5;;45;;;
846;alimentos en 100ml;7;Bebida, libre de calorías, sabor a limón, Tesalia Ice;0;0;0;0;;0;;;;;;;;27,08;;;;;
847;alimentos en 100ml;;Bebida, libre de calorías, sabor a naranjilla, Tesalia Ice;0;0;0;0;;0;;;0;;;;;27,08;;;;;
848;alimentos en 100ml;7;Bebida, limonada, All Natural;5,2;0;0,4;0,4;;0;;;0;;;;;12;;;;;
849;alimentos en 100ml;;Bebida, mezcla de jugos concentrados, kiwi y fresa, Snapple;48,2;0;0;12,05;;;;;;;;;;10,57;;;;;
850;alimentos en 100ml;7;Bebida, nectar de durazno, Nutri;28;0,5;0;6,5;;0;;;0;;;;;2,5;;;;;
851;alimentos en 100ml;;Bebida, nectar de durazno, VVK;77,33;0;0;19,33;0;0;;;0;;;;;0;;;;;
852;alimentos en 100ml;7;Bebida, nectar de mango, Sunny;32;0;0;8;0;0;;;0;;;;;0;;;;;
853;alimentos en 100ml;;Bebida, nectar de manzana, con vitamina C, Natura, Nestlé;18;0;0;4,5;;0;;;0;;;;;5;;;;;
854;alimentos en 100ml;7;Bebida, nectar de naranja, con vitaminas A, C y zinc, Natura, Nestlé;38;0;0;9,5;;0;;;;;;;;7,5;;;;;
855;alimentos en 100ml;;Bebida, nectar mixto, de mango, naranja, manzana y uvilla, Natura, Nestlé;32,43;0;0;8,11;;0;;;;;;;;8,11;;;;;
856;alimentos en 100ml;7;Bebida, nectar mixto, de mora, coco y manzana, Natura, Nestlé;39,25;0;1,25;7;;1;;;;;;;;7,5;;;;;
857;alimentos en 100ml;;Bebida, nectar, nutridefensas de durazno, Del Valle;25,6;0;0;6,4;;0;;;;;;;;4;;;;;
858;alimentos en 100ml;7;Bebida, ponche de fruta, Fruit Juice Red;28,33;0;0;7,08;;;;;;;;;;20,83;;;;;
859;alimentos en 100ml;;Bebida, sabor mezcla tropical, 5 jugos y puré de mango, Splash;30;0;0;7,5;0;;;;0;;;;;6,25;;;;;
860;alimentos en 100ml;7;Bebida, sin gas, sabor a manzana verde, Vivant Storm;8,33;0;0;2,08;;;;;0;;;;;5,42;;;;;
861;alimentos en 100ml;;Bebida, sin gas, sabor a mora y arándanos, Vivant Storm;8,33;0;0;2,08;;;;;0;;;;;5,42;;;;;
862;alimentos en 100ml;7;Bebida, sin gas, sabor a naranja, bajo en calorías, Del Valle;1,33;0;0;0,33;;0;;;0;;;;;28,33;;;;;
863;alimentos en 100ml;;Bebida, sin gas, sabor a naranja, mandarina y limón, citrus punch, Tampico;11,67;0;0;2,92;;;;;;;;;;13,75;;;;;
864;alimentos en 100ml;7;Bebida, sin gas, sabor a naranja, Pura Crema;20,8;0;0;5,2;0;0;;;;;;;;14;;;;;
865;alimentos en 100ml;;Bedida proteíca, proteína de suero, Gofit;70,8;7,2;0,4;9,6;0;0,4;;;3,6;;;;;240;;;;;
866;alimentos en 100ml;7;Jugo de fruta, dragonfruit juice, con prebióticos, Liv Juice;14,67;0;0;3,67;;0;;;0;;;;;1,67;;;;;
867;alimentos en 100ml;;Jugo, de 8 verduras, Herdez;22;0,5;0;5;0;0;;;0;;;;;260;;;;;
868;alimentos en 100ml;7;Jugo, de arándanos, Natures Heart;46;0;0;11,5;0;0;0;0;0;;;;;17,5;;;;;
869;alimentos en 100ml;;Jugo, de manzana Citric;57,6;0;;14,4;0;;;;;;;;;;;;;;
870;alimentos en 100ml;7;Jugo, de naranja, con pulpa, Citric;42;1;0;9,5;1;0;;;0;;;;;0;;;;;
871;alimentos en 100ml;;Jugo, de piña, pasteurizado, Scorpii;51,67;0,42;0;12,5;0;0;;;0;;;;;0;;;;;
872;alimentos en 100ml;7;Jugo, de tomate, Bar Helper;47,62;2,38;0;9,52;;0;;;0;;;;;821,43;;;;;
873;alimentos en 100ml;;Jugo, de tomate, mezcla para coctel, Britvic;12;1;0;2;0,5;0;;;;;;;;0,5;;;;;
874;alimentos en 100ml;7;Jugo, de tomate, para cocktail, Clamato;38,33;0;0;9,58;;;;;;;;;;25;;;;;
875;alimentos en 100ml;;Jugo, de uvilla, Natures Heart;46;0;0;11,5;0;0;0;0;0;;;;;65;;;;;
876;alimentos en 100ml;7;Jugo, procesado, sabor naranja, Del Valle;48;;;12;;;;;;;;;;9;;22,5;;;
877;alimentos en 100ml;;Té, blanco, sabor a carambolo y flor de loto, sin azúcar, sin colorantes, Hatsu Tea;0;0;0;0;;0;;;;;;;;0;;;;;
878;alimentos en 100ml;7;Té, blanco, sabor a flor de cerezo, sin azúcar, sin colorantes, Hatsu Tea;0;0;0;0;;0;;;;;;;;2,5;;;;;
879;alimentos en 100ml;;Té, hiervas aromáticas, horchata, Forestea;13,33;0;0;3,33;;0;;;0;;;;;8,33;;;;;
880;alimentos en 100ml;7;Té, infusión natural, Eco B, cedron, Verbena de Indias;0;0;0;0;0;;;;0;;;;;20;;;;;
881;alimentos en 100ml;;Té, negro, sabor a limón, Fuze Tea;0;0;0;0;;0;;;0;;;;;16,36;;;;;
882;alimentos en 100ml;7;Té, negro, sabor a limón, nicetea, Vivant;8,33;0;0;2,08;;;;;0;;;;;6,25;;;;;
