id_alimento;Grupo;Fuente;Alimento;Energia_kcal;Proteina_g;Grasa_total_g;Carbohidratos_g;Fibra_g;AGS_g;AGM_g;AGPI_g;Colesterol_mg;Calcio_mg;Fosforo_mg;Hierro_mg;Potasio_mg;Sodio_mg;Zinc_mg;VitaminaC_mg;VitaminaA_ug_ERE;Folatos_ug;VitaminaB12_ug
578;lacteos;;Leche, de vaca, fluida, sabor a chocolate, Reyleche;67,6;2,8;2;9,6;0;0,8;;;8;;;;;50;;;;;
579;lacteos;7;Leche, de vaca, fluida, sabor a chocolate, Toni;82,5;2,5;2,5;12,5;;1,5;1;0;10,5;;;;;80;;;;;
580;lacteos;;Leche, de vaca, fluida, semidescremada 2% grasa;49,65;3,3;1,97;4,68;0;1,26;0,56;0,07;8;;94;0,03;150;41;0,43;0;55;5;
581;lacteos;2;Leche, de vaca, fluida, semidescremada 2% grasa, con vit A y D;50,22;3,3;1,98;4,8;0;1,26;0,56;0,07;8;;92;0,02;140;47;0,48;0,2;55;5;0,53
582;lacteos;;Leche, de vaca, fluida, semidescremada, larga vida UHT, con vit A y D, Nestlé;46,67;2,92;1,67;5;;1,04;0,42;0;7,08;;;;;66,67;;;;;
583;lacteos;7;Leche, en polvo, azucarada, con hierro, El Rodeo, Nestlé;450;19,23;19,23;50;0;76,92;;;76,92;;;;;269,23;;;;;
584;lacteos;7;Leche, en polvo, semidescremada, modificada con probióticos, minerales y DHA, etapa 1, Nido, Nestlé;464,24;15,21;20,6;54,5;2,8;7,3;6,79;4,6;30,1;;;;570;220;;;;;
585;lacteos;;Leche, materna, fluida, madura;71,1;1,03;4,38;6,89;0;2,01;1,66;0,5;14;32;14;0,03;51;17;0,17;5;61;5;
586;lacteos;1;Queso crema promedio;354,67;7,55;34,87;2,66;0;21,97;9,84;1,26;110;80;104;1,2;119;296;0,54;0;366;13;0,42
587;lacteos;;Queso crema, para untar, reducido en grasa, Toni;260;13,33;20;6,67;0;13,33;6,67;0;120;;;;;533,33;;;;;
588;lacteos;7;Queso crema, philadelphia, light, Kraft;151,9;8,3;11,5;3,8;0,4;7,4;;;;;;;;0,4;;;;;
589;lacteos;;Queso, azul;353,62;21,4;28,74;2,34;0;18,67;7,78;0,8;75;528;387;0,31;256;1146;2,66;0;198;36;
590;lacteos;2;Queso, brie;333,92;20,75;27,68;0,45;0;17,41;8,01;0,83;100;184;188;0,5;152;629;2,38;0;174;65;1,65
591;lacteos;;Queso, camembert;299,38;19,8;24,26;0,46;0;15,26;7,02;0,72;72;388;347;0,33;187;842;2,38;0;241;62;
592;lacteos;1;Queso, cheddar;402,98;24,9;33,14;1,28;0;21,09;9,39;0,94;;;512;0,68;98;621;3,11;0;265;18;0,83
593;lacteos;;Queso, cottage, con crema;101,27;12,49;4,51;2,68;0;2,85;1,28;0,14;15;60;132;0,14;84;405;0,37;0;44;12;
